cifar10_2_255_simplified-cifar10_spec_idx_0_eps_0.00784_n1, timeout, timeout, 1.0 (v), 14.2 (v), 1.0 (v), 4.4 (v), -
cifar10_2_255_simplified-cifar10_spec_idx_1_eps_0.00784_n1, timeout, 30.9 (h), 8.5 (h), 10.2 (h), 1.0 (h), 4.2 (h), -
cifar10_2_255_simplified-cifar10_spec_idx_2_eps_0.00784_n1, timeout, timeout, 35.7 (h), 28.4 (h), 1.9 (h), timeout, -
cifar10_2_255_simplified-cifar10_spec_idx_3_eps_0.00784_n1, timeout, 252.4 (h), 8.5 (h), 10.5 (h), 1.0 (h), 4.2 (h), -
cifar10_2_255_simplified-cifar10_spec_idx_4_eps_0.00784_n1, timeout, timeout, 51.0 (h), 223.0 (h), 8.9 (h), timeout, -
cifar10_2_255_simplified-cifar10_spec_idx_5_eps_0.00784_n1, timeout, timeout, 11.2 (h), 15.7 (h), 1.8 (h), timeout, -
cifar10_2_255_simplified-cifar10_spec_idx_6_eps_0.00784_n1, timeout, 267.2 (h), 8.7 (h), 11.7 (h), 1.0 (h), 4.2 (h), -
cifar10_2_255_simplified-cifar10_spec_idx_8_eps_0.00784_n1, timeout, timeout, timeout, timeout, timeout, timeout, -
cifar10_2_255_simplified-cifar10_spec_idx_9_eps_0.00784_n1, timeout, timeout, 36.2 (h), 35.8 (h), 2.1 (h), timeout, -
cifar10_2_255_simplified-cifar10_spec_idx_10_eps_0.00784_n1, timeout, 228.3 (h), 8.8 (h), 10.7 (h), 1.0 (h), 4.1 (h), -
cifar10_2_255_simplified-cifar10_spec_idx_11_eps_0.00784_n1, timeout, 31.8 (h), 8.7 (h), 13.8 (h), 1.0 (h), 4.4 (h), -
cifar10_2_255_simplified-cifar10_spec_idx_12_eps_0.00784_n1, timeout, timeout, 1.0 (v), 13.5 (v), 1.0 (v), 4.2 (v), -
cifar10_2_255_simplified-cifar10_spec_idx_13_eps_0.00784_n1, timeout, 31.6 (h), 8.7 (h), 10.5 (h), 1.0 (h), 4.2 (h), -
cifar10_2_255_simplified-cifar10_spec_idx_14_eps_0.00784_n1, timeout, 33.9 (h), 8.6 (h), 14.6 (h), 1.0 (h), 4.3 (h), -
cifar10_2_255_simplified-cifar10_spec_idx_15_eps_0.00784_n1, timeout, 32.6 (h), 8.6 (h), 13.5 (h), 1.0 (h), 4.2 (h), -
cifar10_2_255_simplified-cifar10_spec_idx_16_eps_0.00784_n1, timeout, timeout, 41.2 (h), 41.4 (h), 4.0 (h), timeout, -
cifar10_2_255_simplified-cifar10_spec_idx_17_eps_0.00784_n1, timeout, 33.2 (h), 8.6 (h), 14.3 (h), 1.0 (h), 4.2 (h), -
cifar10_2_255_simplified-cifar10_spec_idx_18_eps_0.00784_n1, timeout, 31.1 (h), 8.6 (h), 10.4 (h), 1.0 (h), 4.3 (h), -
cifar10_2_255_simplified-cifar10_spec_idx_19_eps_0.00784_n1, timeout, 34.5 (h), 8.5 (h), 14.0 (h), 1.0 (h), 4.2 (h), -
cifar10_2_255_simplified-cifar10_spec_idx_20_eps_0.00784_n1, timeout, 270.3 (h), 8.5 (h), 11.4 (h), 1.1 (h), 4.3 (h), -
cifar10_2_255_simplified-cifar10_spec_idx_21_eps_0.00784_n1, 244.9 (h), 25.5 (h), 8.6 (h), 3.3 (h), 1.0 (h), 4.2 (h), -
cifar10_2_255_simplified-cifar10_spec_idx_23_eps_0.00784_n1, timeout, 32.6 (h), 8.6 (h), 13.8 (h), 1.0 (h), 4.3 (h), -
cifar10_2_255_simplified-cifar10_spec_idx_25_eps_0.00784_n1, timeout, timeout, 29.9 (h), 15.6 (h), 1.1 (h), timeout, -
cifar10_2_255_simplified-cifar10_spec_idx_26_eps_0.00784_n1, timeout, timeout, 1.0 (v), 14.0 (v), 1.0 (v), 4.1 (v), -
cifar10_2_255_simplified-cifar10_spec_idx_27_eps_0.00784_n1, timeout, timeout, timeout, timeout, timeout, timeout, -
cifar10_2_255_simplified-cifar10_spec_idx_28_eps_0.00784_n1, timeout, timeout, 1.0 (v), 13.5 (v), 1.0 (v), 4.3 (v), -
cifar10_2_255_simplified-cifar10_spec_idx_29_eps_0.00784_n1, timeout, 36.8 (h), 8.6 (h), 14.1 (h), 1.0 (h), 4.2 (h), -
cifar10_2_255_simplified-cifar10_spec_idx_30_eps_0.00784_n1, timeout, timeout, 55.8 (h), timeout, 16.5 (h), timeout, -
cifar10_2_255_simplified-cifar10_spec_idx_31_eps_0.00784_n1, timeout, timeout, 1.0 (v), 12.0 (v), 1.0 (v), 4.3 (v), -
cifar10_2_255_simplified-cifar10_spec_idx_32_eps_0.00784_n1, timeout, timeout, 1.0 (v), 15.0 (v), 1.0 (v), 4.3 (v), -
cifar10_2_255_simplified-cifar10_spec_idx_33_eps_0.00784_n1, timeout, timeout, timeout, timeout, timeout, timeout, -
cifar10_2_255_simplified-cifar10_spec_idx_34_eps_0.00784_n1, timeout, 33.2 (h), 8.7 (h), 12.5 (h), 1.0 (h), 4.2 (h), -
cifar10_2_255_simplified-cifar10_spec_idx_36_eps_0.00784_n1, timeout, timeout, 1.0 (v), 13.6 (v), 1.0 (v), 4.2 (v), -
cifar10_2_255_simplified-cifar10_spec_idx_37_eps_0.00784_n1, timeout, 273.6 (v), 1.0 (v), 11.0 (v), 1.0 (v), 4.4 (v), -
cifar10_2_255_simplified-cifar10_spec_idx_38_eps_0.00784_n1, timeout, 32.5 (h), 8.7 (h), 14.3 (h), 1.0 (h), 4.1 (h), -
cifar10_2_255_simplified-cifar10_spec_idx_39_eps_0.00784_n1, timeout, timeout, 11.5 (h), 14.2 (h), 1.3 (h), timeout, -
cifar10_2_255_simplified-cifar10_spec_idx_40_eps_0.00784_n1, timeout, 32.4 (h), 8.7 (h), 12.4 (h), 1.0 (h), 4.2 (h), -
cifar10_2_255_simplified-cifar10_spec_idx_41_eps_0.00784_n1, timeout, 32.1 (h), 8.7 (h), 11.6 (h), 1.0 (h), 4.3 (h), -
cifar10_2_255_simplified-cifar10_spec_idx_42_eps_0.00784_n1, timeout, timeout, 30.5 (h), 17.2 (h), 1.0 (h), 251.0 (h), -
cifar10_2_255_simplified-cifar10_spec_idx_43_eps_0.00784_n1, timeout, 37.2 (h), 8.6 (h), 13.7 (h), 1.0 (h), 4.3 (h), -
cifar10_2_255_simplified-cifar10_spec_idx_44_eps_0.00784_n1, timeout, 30.3 (h), 8.6 (h), 8.6 (h), 1.0 (h), 4.2 (h), -
cifar10_2_255_simplified-cifar10_spec_idx_45_eps_0.00784_n1, timeout, 30.1 (h), 8.6 (h), 11.7 (h), 1.0 (h), 4.1 (h), -
cifar10_2_255_simplified-cifar10_spec_idx_46_eps_0.00784_n1, timeout, timeout, 8.6 (h), 12.0 (h), 1.0 (h), 4.3 (h), -
cifar10_2_255_simplified-cifar10_spec_idx_48_eps_0.00784_n1, timeout, timeout, 45.9 (h), 79.4 (h), 5.0 (h), timeout, -
cifar10_2_255_simplified-cifar10_spec_idx_50_eps_0.00784_n1, timeout, timeout, 52.5 (h), 155.5 (h), 10.2 (h), timeout, -
cifar10_2_255_simplified-cifar10_spec_idx_51_eps_0.00784_n1, timeout, timeout, 31.7 (h), 25.8 (h), 1.8 (h), timeout, -
