sec result
0.62 UNSAT
0.66 UNSAT
0.81 UNSAT
0.81 UNSAT
0.67 UNSAT
0.63 UNSAT
0.64 UNSAT
0.58 UNSAT
0.70 UNSAT 
0.70 UNSAT
0.95 UNSAT
0.67 UNSAT
0.67 UNSAT 
1.77 UNSAT
1.48 UNSAT
4.50 UNSAT
5.25 UNSAT
4.62 UNSAT
0.84 UNSAT
0.84 UNSAT
0.78 UNSAT
0.66 UNSAT
1.15 UNSAT
3.15 UNSAT
3.17 UNSAT
2.92 UNSAT
5.47 UNSAT
1.53 UNSAT
0.76 UNSAT
0.67 UNSAT
0.72 UNSAT
2.57 UNSAT
5.37 UNSAT
- UNKNOWN
3.69 UNSAT 
159 UNSAT
0.54 UNSAT
0.59 UNSAT
0.47 UNSAT
0.50 UNSAT
1.04 UNSAT
1.91 UNSAT
1.71 UNSAT
7.92 UNSAT
3.15 UNSAT
2.60 UNSAT
4.40 SAT
10.2 SAT
1.91 SAT
4.1 SAT
3.69 SAT
1.88 UNSAT
2.98 UNSAT
1.72 UNSAT
1.95 SAT
1.51 SAT
1.52 SAT
4.12 SAT
1.93 SAT
1.91 SAT
4.47 SAT
2.94 SAT
6.18 SAT
1.72 SAT
8.02 SAT
167 UNSAT
4.63 SAT
2.0 SAT
4.3 SAT
19.5 SAT
8.7 SAT
2.82 SAT
3.49 SAT
230 UNSAT
1.42 SAT
2.06 SAT
4.99 SAT
6.42 SAT
3.32 SAT
3.37 SAT
5.99 SAT
1.31 SAT
1.45 SAT
9.7 SAT
1.75 SAT
1.41 SAT
1.90 SAT
1.89 SAT
2.63 SAT
9.28 SAT
46.3	UNSAT
1.43	UNSAT
1.99	UNSAT
1.0	UNSAT
0.76	UNSAT
0.65	UNSAT
1.68	SAT
1.36	SAT
1.41	SAT
1.03	UNSAT
1.66	UNSAT
0.74	UNSAT
0.73	UNSAT
0.46	UNSAT
0.90	UNSAT
0.82	UNSAT
0.82	UNSAT
0.87	UNSAT
0.69	UNSAT
0.78	UNSAT
0.84	UNSAT
0.67	UNSAT
0.71	UNSAT
0.72	UNSAT
0.72	UNSAT
0.63	UNSAT
0.80	UNSAT
0.86	UNSAT
1.36	UNSAT
0.69	UNSAT
0.46	UNSAT
0.67	UNSAT
0.68	UNSAT
0.65	UNSAT
0.92	UNSAT
0.71	UNSAT
1.78	UNSAT
2.32	UNSAT
0.72	UNSAT
0.73	UNSAT
0.70	UNSAT
0.91	UNSAT
0.91	UNSAT
0.71	UNSAT
0.92	UNSAT
4.79	UNSAT
1.98	UNSAT
2.19	UNSAT
0.97	UNSAT
0.88	UNSAT
0.97	UNSAT
1.44	SAT
1.43	SAT
1.26	SAT
0.84	UNSAT
1.00	UNSAT
1.21	UNSAT
0.71	UNSAT
0.66	UNSAT
0.80	UNSAT
1.00	UNSAT
0.91	UNSAT
0.99	UNSAT
1.25	UNSAT
0.96	UNSAT
0.83	UNSAT
0.68	UNSAT
0.74	UNSAT
1.0	UNSAT
0.73	UNSAT
0.75	UNSAT
0.81	UNSAT
1.75	UNSAT
0.78	UNSAT
0.96	UNSAT
0.76	UNSAT
0.93	UNSAT
0.96	UNSAT
0.79	UNSAT
0.84	UNSAT
0.90	UNSAT
1.17	UNSAT
1.76	UNSAT
0.76	UNSAT
0.60	UNSAT
0.68	UNSAT
0.92	UNSAT
0.85	UNSAT
0.72	UNSAT
1.05	UNSAT
32.3 UNSAT
10.20 UNSAT
91.4 SAT
122 SAT
9.20 UNSAT
2.07 UNSAT
