mipverify_time mipverify_results network_id eps sample_number
4.45 UNSAT MNIST 0.1 1
3.04 UNSAT MNIST 0.1 2
2.86 UNSAT MNIST 0.1 3
2.89 UNSAT MNIST 0.1 4
3.72 UNSAT MNIST 0.1 5
2.58 UNSAT MNIST 0.1 6
6.73 UNSAT MNIST 0.1 7
3.14 UNSAT MNIST 0.1 8
6.82 UNSAT MNIST 0.1 9
3.34 UNSAT MNIST 0.1 10
4.61 UNSAT MNIST 0.1 11
4.93 UNSAT MNIST 0.1 12
4.35 UNSAT MNIST 0.1 13
3.63 UNSAT MNIST 0.1 14
2.13 UNSAT MNIST 0.1 15
4.69 UNSAT MNIST 0.1 16
3.15 UNSAT MNIST 0.1 17
3.07 UNSAT MNIST 0.1 18
10.21 UNSAT MNIST 0.1 19
3.51 UNSAT MNIST 0.1 20
2.99 UNSAT MNIST 0.1 21
3.42 UNSAT MNIST 0.1 22
6.94 UNSAT MNIST 0.1 23
3.84 UNSAT MNIST 0.1 24
4.00 UNSAT MNIST 0.1 25
4.03 UNSAT MNIST 0.1 26
2.77 UNSAT MNIST 0.1 27
2.92 UNSAT MNIST 0.1 28
3.26 UNSAT MNIST 0.1 29
2.28 UNSAT MNIST 0.1 30
3.45 UNSAT MNIST 0.1 31
2.60 UNSAT MNIST 0.1 32
3.45 UNSAT MNIST 0.1 33
4.36 UNSAT MNIST 0.1 34
2.98 UNSAT MNIST 0.1 35
4.00 UNSAT MNIST 0.1 36
3.53 UNSAT MNIST 0.1 37
2.40 UNSAT MNIST 0.1 38
4.12 UNSAT MNIST 0.1 39
2.80 UNSAT MNIST 0.1 40
2.58 UNSAT MNIST 0.1 41
3.29 UNSAT MNIST 0.1 42
3.95 UNSAT MNIST 0.1 43
3.29 UNSAT MNIST 0.1 44
3.22 UNSAT MNIST 0.1 45
5.57 UNSAT MNIST 0.1 46
2.41 UNSAT MNIST 0.1 47
4.89 UNSAT MNIST 0.1 48
2.95 UNSAT MNIST 0.1 49
3.49 UNSAT MNIST 0.1 50
4.00 UNSAT MNIST 0.1 51
4.25 UNSAT MNIST 0.1 52
3.26 UNSAT MNIST 0.1 53
4.48 UNSAT MNIST 0.1 54
4.88 UNSAT MNIST 0.1 55
3.66 UNSAT MNIST 0.1 56
3.44 UNSAT MNIST 0.1 57
2.14 UNSAT MNIST 0.1 58
4.18 UNSAT MNIST 0.1 59
3.84 UNSAT MNIST 0.1 60
2.62 UNSAT MNIST 0.1 61
3.72 UNSAT MNIST 0.1 62
41.00 UNSAT MNIST 0.1 63
3.29 UNSAT MNIST 0.1 64
3.75 UNSAT MNIST 0.1 65
12.53 UNSAT MNIST 0.1 66
4.59 UNSAT MNIST 0.1 67
5.50 UNSAT MNIST 0.1 68
3.28 UNSAT MNIST 0.1 69
3.81 UNSAT MNIST 0.1 70
2.77 UNSAT MNIST 0.1 71
3.17 UNSAT MNIST 0.1 72
3.52 UNSAT MNIST 0.1 73
2.59 UNSAT MNIST 0.1 74
2.59 UNSAT MNIST 0.1 75
3.46 UNSAT MNIST 0.1 76
3.15 UNSAT MNIST 0.1 77
4.20 UNSAT MNIST 0.1 78
3.33 UNSAT MNIST 0.1 79
3.04 UNSAT MNIST 0.1 80
2.54 UNSAT MNIST 0.1 81
3.08 UNSAT MNIST 0.1 82
2.98 UNSAT MNIST 0.1 83
3.20 UNSAT MNIST 0.1 84
4.88 UNSAT MNIST 0.1 85
2.84 UNSAT MNIST 0.1 86
3.07 UNSAT MNIST 0.1 87
3.50 UNSAT MNIST 0.1 88
3.61 UNSAT MNIST 0.1 89
2.88 UNSAT MNIST 0.1 90
2.95 UNSAT MNIST 0.1 91
3.56 UNSAT MNIST 0.1 92
12.34 UNSAT MNIST 0.1 93
3.15 UNSAT MNIST 0.1 94
2.12 UNSAT MNIST 0.1 95
4.16 UNSAT MNIST 0.1 96
2.42 UNSAT MNIST 0.1 97
3.00 UNSAT MNIST 0.1 98
3.21 UNSAT MNIST 0.1 99
3.13 UNSAT MNIST 0.1 100
20.21 UNSAT MNIST 0.3 1
19.35 UNSAT MNIST 0.3 2
9.41 UNSAT MNIST 0.3 3
42.15 UNSAT MNIST 0.3 4
- Timeout MNIST 0.3 5
7.49 UNSAT MNIST 0.3 6
- Timeout MNIST 0.3 7
- Timeout MNIST 0.3 8
29.93 SAT MNIST 0.3 9
- Timeout MNIST 0.3 10
20.50 UNSAT MNIST 0.3 11
- Timeout MNIST 0.3 12
- Timeout MNIST 0.3 13
27.59 UNSAT MNIST 0.3 14
5.37 UNSAT MNIST 0.3 15
327.26 SAT MNIST 0.3 16
148.17 UNSAT MNIST 0.3 17
14.99 UNSAT MNIST 0.3 18
74.91 SAT MNIST 0.3 19
158.85 UNSAT MNIST 0.3 20
- Timeout MNIST 0.3 21
18.15 UNSAT MNIST 0.3 22
- Timeout MNIST 0.3 23
52.60 UNSAT MNIST 0.3 24
- Timeout MNIST 0.3 25
17.02 UNSAT MNIST 0.3 26
19.85 UNSAT MNIST 0.3 27
101.23 UNSAT MNIST 0.3 28
25.22 UNSAT MNIST 0.3 29
7.32 UNSAT MNIST 0.3 30
- Timeout MNIST 0.3 31
8.58 UNSAT MNIST 0.3 32
13.80 UNSAT MNIST 0.3 33
109.52 SAT MNIST 0.3 34
14.68 UNSAT MNIST 0.3 35
55.67 UNSAT MNIST 0.3 36
179.30 UNSAT MNIST 0.3 37
7.37 UNSAT MNIST 0.3 38
- Timeout MNIST 0.3 39
5.95 UNSAT MNIST 0.3 40
6.12 UNSAT MNIST 0.3 41
- Timeout MNIST 0.3 42
29.24 UNSAT MNIST 0.3 43
138.88 SAT MNIST 0.3 44
116.54 UNSAT MNIST 0.3 45
- Timeout MNIST 0.3 46
7.53 UNSAT MNIST 0.3 47
- Timeout MNIST 0.3 48
8.28 UNSAT MNIST 0.3 49
17.65 UNSAT MNIST 0.3 50
230.23 UNSAT MNIST 0.3 51
221.21 UNSAT MNIST 0.3 52
- Timeout MNIST 0.3 53
- Timeout MNIST 0.3 54
31.07 UNSAT MNIST 0.3 55
14.62 UNSAT MNIST 0.3 56
19.68 UNSAT MNIST 0.3 57
6.70 UNSAT MNIST 0.3 58
50.61 UNSAT MNIST 0.3 59
- Timeout MNIST 0.3 60
7.51 UNSAT MNIST 0.3 61
- Timeout MNIST 0.3 62
44.19 SAT MNIST 0.3 63
76.05 SAT MNIST 0.3 64
- Timeout MNIST 0.3 65
- Timeout MNIST 0.3 67
- Timeout MNIST 0.3 68
155.62 UNSAT MNIST 0.3 69
- Timeout MNIST 0.3 70
8.45 UNSAT MNIST 0.3 71
24.15 UNSAT MNIST 0.3 72
- Timeout MNIST 0.3 73
21.24 SAT MNIST 0.3 74
8.78 UNSAT MNIST 0.3 75
- Timeout MNIST 0.3 76
25.63 UNSAT MNIST 0.3 77
- Timeout MNIST 0.3 78
158.51 UNSAT MNIST 0.3 79
7.54 UNSAT MNIST 0.3 80
18.28 UNSAT MNIST 0.3 81
28.04 UNSAT MNIST 0.3 82
13.58 UNSAT MNIST 0.3 83
10.63 UNSAT MNIST 0.3 84
- Timeout MNIST 0.3 85
11.46 UNSAT MNIST 0.3 86
11.34 UNSAT MNIST 0.3 87
- Timeout MNIST 0.3 88
22.50 UNSAT MNIST 0.3 89
7.41 UNSAT MNIST 0.3 90
260.92 UNSAT MNIST 0.3 91
29.64 UNSAT MNIST 0.3 92
66.66 SAT MNIST 0.3 93
73.90 UNSAT MNIST 0.3 94
5.63 UNSAT MNIST 0.3 95
190.09 UNSAT MNIST 0.3 96
7.06 UNSAT MNIST 0.3 97
108.55 UNSAT MNIST 0.3 98
- Timeout MNIST 0.3 99
18.49 UNSAT MNIST 0.3 100
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
- Timeout - - -
299.96 UNSAT CIFAR10 8/255 2
- Timeout CIFAR10 8/255 3
- Timeout CIFAR10 8/255 5
- Timeout CIFAR10 8/255 6
- Timeout CIFAR10 8/255 10
- Timeout CIFAR10 8/255 11
- Timeout CIFAR10 8/255 12
81.92 UNSAT CIFAR10 8/255 14
- Timeout CIFAR10 8/255 15
- Timeout CIFAR10 8/255 16
- Timeout CIFAR10 8/255 17
94.44 UNSAT CIFAR10 8/255 19
- Timeout CIFAR10 8/255 20
20.32 UNSAT CIFAR10 8/255 22
- Timeout CIFAR10 8/255 24
- Timeout CIFAR10 8/255 29
- Timeout CIFAR10 8/255 30
- Timeout CIFAR10 8/255 31
- Timeout CIFAR10 8/255 33
- Timeout CIFAR10 8/255 34
- Timeout CIFAR10 8/255 35
- Timeout CIFAR10 8/255 39
- Timeout CIFAR10 8/255 40
92.68 UNSAT CIFAR10 8/255 42
164.30 SAT CIFAR10 8/255 45
- Timeout CIFAR10 8/255 46
- Timeout CIFAR10 8/255 50
153.49 UNSAT CIFAR10 8/255 51
- Timeout CIFAR10 8/255 52
- Timeout CIFAR10 8/255 55
- Timeout CIFAR10 8/255 56
- Timeout CIFAR10 8/255 61
- Timeout CIFAR10 8/255 65
- Timeout CIFAR10 8/255 67
- Timeout CIFAR10 8/255 68
- Timeout CIFAR10 8/255 72
- Timeout CIFAR10 8/255 73
- Timeout CIFAR10 8/255 74
251.68 SAT CIFAR10 8/255 75
- Timeout CIFAR10 8/255 77
105.95 SAT CIFAR10 8/255 80
- Timeout CIFAR10 8/255 81
106.86 UNSAT CIFAR10 8/255 82
- Timeout CIFAR10 8/255 83
- Timeout CIFAR10 8/255 84
- Timeout CIFAR10 8/255 85
- Timeout CIFAR10 8/255 87
- Timeout CIFAR10 8/255 89
- Timeout CIFAR10 8/255 90
- Timeout CIFAR10 8/255 91
82.04 UNSAT CIFAR10 8/255 93
- Timeout CIFAR10 8/255 96
- Timeout CIFAR10 8/255 97
- Timeout CIFAR10 8/255 98
29.06 UNSAT CIFAR10 8/255 99
- Timeout CIFAR10 8/255 100
